asset_id,asset_name,category,status,source_url,author,license,attribution_required,project_path,notes
engine-godot-4-7-1,Godot Engine 4.7.1,engine,approved,https://godotengine.org/license/,Godot Engine contributors,MIT,yes,licenses/GODOT-ENGINE-LICENSE.md,Official engine and export templates
placeholder-dev-character,Development character definition,data,placeholder,created-in-project,Ember Corridor project,project-internal,no,data/characters/dev_character.tres,Code-only M0 validation resource; no external art
concept-combat-corridor-v01,Combat corridor keyframe v0.1,concept-art,concept-only,OpenAI image generation,Ember Corridor project,pending-review,no,design/concepts/combat_corridor_keyframe_v01.png,AI-assisted visual exploration for Figma HUD composition; not approved for release or runtime use
concept-title-keyart-v01,Title key art v0.1,concept-art,concept-only,OpenAI image generation,Ember Corridor project,pending-review,no,design/concepts/title_keyart_v01.png,AI-assisted title and main-menu composition reference; not approved for release or runtime use
concept-grey-harbor-hub-v01,Grey Harbor hub v0.1,concept-art,concept-only,OpenAI image generation,Ember Corridor project,pending-review,no,design/concepts/grey_harbor_hub_v01.png,AI-assisted hub layout and atmosphere reference; not approved for release or runtime use
concept-combat-transit-gallery-v01,Transit Gallery combat v0.1,concept-art,concept-only,OpenAI image generation,Ember Corridor project,pending-review,no,design/concepts/combat_transit_gallery_v01.png,AI-assisted elite combat and telegraph reference; not approved for release or runtime use
concept-boss-kiln-warden-v01,Kiln Warden boss v0.1,concept-art,concept-only,OpenAI image generation,Ember Corridor project,pending-review,no,design/concepts/boss_kiln_warden_v01.png,AI-assisted boss arena and HUD composition reference; not approved for release or runtime use
concept-player-corridor-ranger-v01,Corridor Ranger character sheet v0.1,concept-art,concept-only,OpenAI image generation,Ember Corridor project,pending-review,no,design/concepts/player_corridor_ranger_sheet_v01.png,AI-assisted player silhouette costume and animation reference; not approved for release or runtime use
concept-enemy-roster-v01,Enemy roster v0.1,concept-art,concept-only,OpenAI image generation,Ember Corridor project,pending-review,no,design/concepts/enemy_roster_v01.png,AI-assisted enemy family and silhouette reference; not approved for release or runtime use
concept-skill-icons-v01,Skill icon sheet v0.1,concept-art,concept-only,OpenAI image generation,Ember Corridor project,pending-review,no,design/concepts/skill_icons_sheet_v01.png,AI-assisted eight-skill icon exploration; not approved for release or runtime use
concept-equipment-icons-v01,Equipment icon sheet v0.1,concept-art,concept-only,OpenAI image generation,Ember Corridor project,pending-review,no,design/concepts/equipment_icons_sheet_v01.png,AI-assisted twelve-item icon exploration; not approved for release or runtime use
font-noto-sans-sc-variable,Noto Sans SC Variable,font,approved,https://www.npmjs.com/package/@fontsource-variable/noto-sans-sc,Google and Fontsource,OFL-1.1,yes,assets/runtime/fonts,Noto Sans SC variable font subsets bundled for Chinese runtime rendering; license retained in licenses/fonts/NOTO-SANS-SC-OFL.txt
runtime-title-keyart-v01,Runtime title key art v0.1,runtime-art,runtime-preview,OpenAI image generation,Ember Corridor project,project-internal,no,assets/runtime/backgrounds/title_keyart_runtime_v01.png,Runtime copy derived from the earlier title concept and approved only for the 0.1.2 visual-slice preview
runtime-furnace-arena-v01,Furnace corridor arena v0.1,runtime-art,runtime-preview,OpenAI image generation,Ember Corridor project,project-internal,no,assets/runtime/backgrounds/furnace_corridor_arena_v01.png,Generated from the earlier combat-corridor direction as a clean gameplay background without baked characters or UI
runtime-corridor-ranger-v01,Corridor Ranger six-frame sheet v0.1,runtime-art,runtime-preview,OpenAI image generation,Ember Corridor project,project-internal,no,assets/runtime/characters/corridor_ranger_sheet_v01.png,Generated six-frame runtime sheet derived from the earlier player concept; chroma-key background removed for transparent sprites
runtime-furnace-enemies-v01,Furnace enemies eight-frame sheet v0.1,runtime-art,runtime-preview,OpenAI image generation,Ember Corridor project,project-internal,no,assets/runtime/characters/furnace_enemies_sheet_v01.png,Generated shield-automaton and ember-spider runtime sheet; chroma-key background removed for transparent sprites
runtime-skill-icons-v01,Runtime skill icon sheet v0.1,runtime-art,runtime-preview,OpenAI image generation,Ember Corridor project,project-internal,no,assets/runtime/ui/skill_icons_runtime_v01.png,Runtime copy derived from the earlier skill-icon concept and approved only for the 0.1.2 visual-slice preview
